,teamName,year,returningMins%,wins,totalGames,OE,DE,sos,adjTempo
3922,Siena,2020,40.4280858208,17.0,33,101.44872715235,107.79301648668,7.8169545454546,60.438771211792
3923,Siena,2021,47.289457529,20.0,30,107.06573412769,104.74414187736,8.88752,66.835249417814
3924,Siena,2022,33.6865250254,12.0,17,99.584664587794,102.40817003808,4.9749058823529,65.42931836176
3926,UTSA,2011,25.0200004936,16.0,27,104.05087036,105.11530538772,10.761759259259,63.901405327214
3927,UTSA,2012,66.7,17.0,31,101.43205749155,104.42320733556,10.813735483871,67.944066924301
3928,UTSA,2013,47.42,16.0,30,101.64583548177,103.4090895694,10.710796666667,68.051573560034
3929,UTSA,2014,38.52,10.0,32,97.661571655024,107.48739168871,14.206496875,64.57364478708
3930,UTSA,2015,35.84,6.0,27,100.77051319494,113.86102304107,14.829088888889,68.559729948003
3931,UTSA,2016,45.84,12.0,28,104.12293945683,108.76476287953,11.026114285714,66.228036891932
3932,UTSA,2017,56.64,4.0,30,96.977631689585,116.02116490542,12.99919,73.029498444757
3933,UTSA,2018,57.9,12.0,31,94.856586291129,102.32184122427,12.161096774194,69.498003103358
3934,UTSA,2019,68.6,17.0,32,104.07751704637,103.23533728885,15.595396875,72.977002414652
3935,UTSA,2020,70.4163327935,14.0,28,106.14372309118,103.61577186206,14.1065,71.778405809605
3936,UTSA,2021,65.7726188679,10.0,29,104.0140706602,107.52664662281,15.522744827586,72.907659591147
3937,UTSA,2022,48.9697929508,11.0,22,106.13594101248,104.94613552694,15.608809090909,71.651100173498
3939,North Dakota St.,2011,50.4899019339,9.0,27,95.244028870196,103.43182232332,11.174659259259,68.664339213053
3940,North Dakota St.,2012,68.44,12.0,27,103.4981039711,102.57978888847,13.626985185185,68.388764921571
3941,North Dakota St.,2013,75.4,16.0,30,104.99701706689,104.92307540594,12.062516666667,66.878264128049
3942,North Dakota St.,2014,89.22,22.0,32,102.08440781567,94.168802822151,13.34703125,60.84501837937
3943,North Dakota St.,2015,41.86,23.0,30,113.93791452168,103.00796623552,16.45127,64.027068142926
3944,North Dakota St.,2016,79.24,21.0,31,100.69817362934,100.61006255946,13.662493548387,61.453496526359
3945,North Dakota St.,2017,72.74,18.0,31,100.11847372981,99.886630246792,12.674851612903,65.397652975755
